Appelation courante;Description;Historique/Anecdotes;Commune;Entité;Adresse actuelle;Latitude;Longitude;Photographies;r_Photographies
Anneaux d'attelage du n°117 rue de Reppe;Deux anneaux d'attelage scellés dans le mur en grès de l'annexe à rue de cette demeure;Pas d'information trouvée;Ohey;Ohey;Rue de Reppe, 117;50.435204;5.119317;Ohey-Cat18-AnneauxAttelageReppe117-AD-01Ohey-Cat18-AnneauxAttelageReppe117-AD-02;Ohey-Cat18-AnneauxAttelageReppe117-AD
Anneaux d'attelage du n°118 rue de Reppe;A droite de l'actuelle vitrine de la boulangerie, deux anneaux d'attelage toujours scellés dans le mur de la maison ;Pas d'information trouvée;Ohey;Ohey;Rue de Reppe, 118;50.435069;5.119007;Ohey-Cat18-AnneauxAttelageReppe118-AD-01Ohey-Cat18-AnneauxAttelageReppe118-AD-02;Ohey-Cat18-AnneauxAttelageReppe118-AD
Anneaux d'attelage du n°58 chaussée de Ciney;Deux anneaux d'attelage, un de chaque côté de la porte d'entrée;Pas d'information trouvée;Ohey;Ohey;Rue de Ciney, 58;50.433837;5.124635;Ohey-Cat18-AnneauxAttelageChéeCiney58-AD-01Ohey-Cat18-AnneauxAttelageChéeCiney58-AD-02Ohey-Cat18-AnneauxAttelageChéeCiney58-AD-03;Ohey-Cat18-AnneauxAttelageChéeCiney58-AD
Baie d'imposte de la porte de l'ancien presbytère;Au-dessus d'une porte en anse de panier, baie d'imposte à deux jours, séparés par un meneau et garantis par des barreaux épineux. Petit arc de décharge en brique. ;""" Le presbytère fut construit peu après l’église, devis approuvé le 16 mars 1890 (13.000 F). La cure fut plus tard installée au presbytère de Haillot. Le bâtiment fut restauré et aménagé par l’administration communale pour devenir la crèche et ce le 1er octobre 1992. ""
Source : Pierre Vos (dir.), Ohey autrefois. Cartes postales et documents inédits, Edition Syndicat d'Initiative d'Ohey, 1998, p.154.";Ohey;Ohey;Place Roi Baudouin, 79;50.435978;5.121714;Ohey-Cat3.1-ImposteAncienPresbytère-AD-01Ohey-Cat3.1-ImposteAncienPresbytère-AD-02;Ohey-Cat3.1-ImposteAncienPresbytère-AD
Balcon de l'ancienne maison Rosoux;Balcon avec un garde-corps en fonte, reposant sur de très belles consoles en calcaire.;""" Précédée d’une cour limitée d’un muret surmonté de grilles ouvragées, maison bourgeoise de style éclectique élevée en 1895, aujourd’hui investie par les services communaux (…) "" 
IPIC 92097-INV-0104-03

L'ancienne maison Rosoux était dénommée Villa Groynne, du nom de la famille qui l'a fait bâtir en 1895 grâce à la vente de leurs actions des chemins de fer en Russie. Par héritage, elle passa à Juliette Groynne (fille de Léon et de Félicie Monjoie), épouse d'André Rosoux. Le 18 juin 1986, la Commune d'Ohey a acheté le bien (3 Ha, 7 A, 8 Ca) à Etienne Rosoux pour 3.756.380 francs.
Source : Pierre Vos (dir.), Ohey autrefois. Cartes postales et documents inédits, Edition Syndicat d'Initiative d'Ohey, 1998, p.14.";Ohey;Ohey;Rue du Tilleul, 95;50.436491;5.120495;Ohey-Cat3.5-BalconMaisonRosoux-AD-01Ohey-Cat3.5-BalconMaisonRosoux-AD-02Ohey-Cat3.5-BalconMaisonRosoux-AD-03Ohey-Cat3.5-BalconMaisonRosoux-AD-04;Ohey-Cat3.5-BalconMaisonRosoux-AD
Balcon du n°117 rue de Reppe;Situé au-dessus de la porte d'entrée, balcon en fer forgé et fonte, à plate-forme et consoles en calcaire;"Avant 1910, le bureau de postes se trouvait à cet endroit.

Source : Pierre Vos (dir.), Ohey autrefois. Cartes postales et documents inédits, Edition Syndicat d'Initiative d'Ohey, 1998";Ohey;Ohey;Rue de Reppe, 117;50.43526;5.119401;Ohey-Cat10.2-BalconReppe117-AD-01Ohey-Cat10.2-BalconReppe117-AD-02;Ohey-Cat10.2-BalconReppe117-AD
Banc près du puits rue Dehasse;A l'arrière du reposoir et du puits, sous un très vieux saule, banc composé de deux montants en fonte et de planches en bois nouvelles.;Pas d'information trouvée;Ohey;Haillot;Rue Dehasse, 212 + à côté de;50.451513;5.153616;Haillot-Cat18-BancPuitsDehasse-AF-01Haillot-Cat18-BancPuitsDehasse-AF-02Haillot-Cat18-BancPuitsDehasse-AF-03;Haillot-Cat18-BancPuitsDehasse-AF
Barreaux des fenêtres de la sacristie de l'église Saint-Pierre;Garantissant les cinq fenêtres en arc brisé du presbytère, grilles à trois barreaux épineux ( recourbés en pointe dans le bas) fixés entre trois traverses doubles. Petites rosaces aux intersections.    ;""" Implantée au coeur stratégique du village, à proximité de la maison communale, de l’école et de la cure, église de style néo-gothique construite en 1890 par l’architecte Hellepute. Vaste édifice de plan principalement basilical, équipé d’une tour campanile (...) ""
IPIC 92097-INV-0052-02

Le 15 juillet 1889, la première pierre de l'église fut posée  par le bourgmestre Francis de Monge. Le montant fut adjugé à 60.539 francs. En remerciement, les paroissiens ont organisé une manifestation populaire grandiose en l’honneur du bourgmestre.
Source : Pierre Vos (dir.), Ohey autrefois. Cartes postales et documents inédits, Edition Syndicat d'Initiative d'Ohey, 1998, p.153.";Ohey;Ohey;Place Roi Baudouin, église + à l'arrière;50.435916;5.121444;Ohey-Cat10.2-BarreaudageSacristie-AD-01Ohey-Cat10.2-BarreaudageSacristie-AD-02Ohey-Cat10.2-BarreaudageSacristie-AD-03;Ohey-Cat10.2-BarreaudageSacristie-AD
Borne de limite de deux communes;Borne de limite entre les communes d' Ohey et d'Haut-Bois - Haltinne. Les initiales des communes sont gravées sur les faces correspondantes à la situation géographique. Sur la partie supérieure, le centre est matérialisé par un clou plombé.;Voir description;Ohey;Ohey;Rue Bois d’Ohey, 318;50.43849;5.10644;Ohey-Cat5.2-BorneLimite2-OG-01;
Borne de limite de trois communes;Borne située dans le bois d’Ohey, faisant la limite entre trois anciennes communes : Ohey , Coutisse et Haut-Bois . Borne dite à 3 cotes. ;Voir description;Ohey;Ohey;Bois d'Ohey;50.44758;5.10013;Ohey-Cat5.2-BorneLimite3Communes-OG-01Ohey-Cat5.2-BorneLimite3Communes-OG-02;Ohey-Cat5.2-BorneLimite3Communes-OG
Borne TTC du n°9 rue de l'église;Devant une maison, petite borne en fonte de forme pyramidale avec l'inscription T T C;Pas d'information trouvée, ni sur internet, ni auprès des propriétaires de la maison située à l'arrière de cette borne;Ohey;Haillot;rue de l'église, 9 + devant;50.440668;5.149379;Haillot-Cat5-BorneTTCEglise9-AF-01                              Haillot-Cat5-BorneTTCEglise9-AF-01         ;
Bornes de la ferme de Petit Wallay;Reliées par une chaîne, trois bornes légèrement côniques à tête arrondie, en calcaire,  limitant la propriété du  côté de la rue.;"La ferme de Petit Wallay faisait partie de la vaste propriété de la famille Van der Straeten, dont les de Monge (propriétaires actuels du château de Wallay) sont les héritiers. 

Dans la cour de cette ferme, il y avait un puits circulaire surmonté d'un treuil et d'une petite toiture. Il fonctionnait encore au temps de l'exploitation de la propriété par la famille Duffert.
Témoignage oral : Albert Franchimont";Ohey;Ohey;Rue Bois d’Ohey,322;50.43509;5.10476;Ohey-Cat5.2-BornesFermePetitWallay-OG-01;
Bornes rue Brionsart;Non loin de la limite avec la comune de Gesves, de chaque côté de la voirie, deux séries de 13 bornes cylindriques en calcaire, reliées jadis par des barres garde-corps;Non vérifié;Ohey;Ohey;Rue de Brionsart ,140 a + près de;50.42239;5.09208;Ohey-Cat5.2-BornesBrionsart-OG-01Ohey-Cat5.2-BornesBrionsart-OG-02Ohey-Cat5.2-BornesBrionsart-OG-03;Ohey-Cat5.2-BornesBrionsart-OG
Calvaire du cimetière;""" (...) Dans l’axe de l’entrée, monté sur un massif en rocaille évoquant les rochers du Golgotha, calvaire daté de « ANNO / 1933 » sur un cartouche. Bien visible dans le paysage, monument en fonte peinte, constitué du Christ en croix accompagné de personnages bibliques. ""IPIC : 92097-INV-0144-01Les personnages qui entourent le Christ sont la Vierge et saint Jean. Le calvaire est bâti sur un socle calcaire et entouré d'un garde-corps en  métal. La croix est décorée d'ornements en fer forgé (ou en fonte).   ";Pas d'information trouvée;Ohey;Perwez;Rue du Bois de Goesnes, cimetière;50.456014;5.176301;Perwez-Cat2.2-CalvaireCimetière-PG-01                                          Perwez-Cat2.2-CalvaireCimetière-PG-02Perwez-Cat2.2-CalvaireCimetière-AF-01                                          Perwez-Cat2.2-CalvaireCimetière-AF-02;
Calvaire Dutilleux;Chapelle ouverte, fermée par une petite barrière blanche et ornée d'un Christ en croix polychromé.;"Le christ en croix est plus ancien que l’édifice qui l’abrite. A l’origine, le christ était situé à environ 30 m au croisement entre la rue de l’Harmonie et la grand’route Andenne- Ciney (une carte de 1867 l’atteste). Il a été déplacé à l’endroit actuel lorsque, en 1915, Jérôme Dutilleux construisit son habitation (actuelle librairie). La datation du christ n’est pas facile à établir et se situerait aux environs de 1820 (développement du quartier) – 1867.
";Ohey;Ohey;Rue de l'Harmonie, 102;50.437298;5.122373;Ohey-Cat2.2-CalvaireDutilleux-AD-01Ohey-Cat2.2-CalvaireDutilleux-AD-02;Ohey-Cat2.2-CalvaireDutilleux-AD
Chapelle du Sacré-Cœur;""" Implantée à l’angle, chapelle en brique blanchie sous toit d’asbeste-ciment à deux versants, élevée en 1937 à la gloire du Sacré-Coeur par les paroissiens comme le rappelle le cartouche en tiers-point du tympan. Façade-pignon animée par le jeu de la brique, creusée d’une large porte à double battants, et ponctuée d’une intéressante croix faîtière en pierre calcaire. CS ""IPIC : 92097-INV-0086-01";"Bâtie par la paroisse en reconnaissance de la protection dont elle fut l'objet pendant la Guerre 1914-1918. 
Cette chapelle a été cédée à la Commune d'Ohey.";Ohey;Ohey;Rue de Ciney , 171 + en face;50.44211;5.1206;Ohey-Cat2.5-ChapelleSacréCoeur-OG-01Ohey-Cat2.5-ChapelleSacréCoeur-OG-02;Ohey-Cat2.5-ChapelleSacréCoeur-OG
Chapelle Hanoul;Petite chapelle élevée en blocs de béton, sous bâtière d'asbeste-ciment. A l'intérieur, sur l'autel, statue en plâtre de la Vierge.;Non vérifié;Ohey;Ohey;Rue Brionsart,134;50.42698;5.09406;Ohey-Cat2.5-ChapelleHanoul-OG-01Ohey-Cat2.5-ChapelleHanoul-OG-02;Ohey-Cat2.5-ChapelleHanoul-OG
Chapelle Notre-Dame du Perpétuel Secours;""" Bien visible à l’angle, chapelle Notre-Dame du Perpétuel Secours érigée en style néo-roman vers 1910. Edifice en moellons réglés de grès et pierre calcaire, particulièrement soigné, coiffé d’un toit d’ardoise. Elevée sur un soubassement biseauté, mononef arborant une façade-pignon crucifère à rampants débordants et oreille sur console. Portail en plein cintre à clé crucifère, surmonté d’une archivolte reposant sur des culots à visage humain montés sur de courtes colonnettes sur base moulurée et chapiteau palmiforme. Cartouche trilobé ornant le haut du pignon. CS ""IPIC 92097-INV-0085-01 Au fond, vitrail dédié à sainte-Cécile";"Cette chapelle fut édifiée par madame Marsigny-Carlier, sur sa propriété, vers 1910.
Source : publication locale";Ohey;Ohey;Rue Grande Ruelle et rue de Reppe + au croisement des;50.434263;5.117306;Ohey-Cat2.5-ChapelleNDPerpétuelSec-AD-01Ohey-Cat2.5-ChapelleNDPerpétuelSec-AD-02Ohey-Cat2.5-ChapelleNDPerpétuelSec-OG-01Ohey-Cat2.5-ChapelleNDPerpétuelSec-OG-02;Ohey-Cat2.5-ChapelleNDPerpétuelSec-AD
Chapelle Saint-Donat;""" Installée à l’angle, chapelle mononef du 2e tiers du 19e siècle d’esprit néoclassique, dédiée à saint Donat. Bâti en moellons de grès, l’édifice est ouvert par une porte au linteau cintré en brique munie d’une intéressante imposte à petits bois rayonnants. Chevet à trois pans. Toiture d’ardoise. CS ""IPIC : 92097-INV-0084-01 Chapelle isolée en bordure du pré et rue du Bois d’Ohey. Intérieur soigné, avec statue de saint Donat sur l'autel.";"A proximité, il y a environ 170 ans, la foudre s'est abattue sur une maison. Heureusement, ses habitants ont eu la vie sauve et en remerciement, ont fait construire cette chapelle en l'honneur de saint Donat. 

Les chars du Corso fleuri (folklore oheytois) font arrêt devant cette chapelle.  
  ";Ohey;Ohey;Rue Bois d'Ohey et rue Grande Ruelle + au croisement des;50.43989;5.11036;Ohey-Cat2.5-ChapelleStDonat-OG-01Ohey-Cat2.5-ChapelleStDonat-OG-02;Ohey-Cat2.5-ChapelleStDonat-OG
Chapelle Saint-Pierre;""" Aux abords d’une vaste ferme, petit sanctuaire en calcaire des environs de 1800, fermé par un chevet à trois pans sous toiture d’asbeste-ciment. En façade, accessible par un petit emmarchement, ouverture rectangulaire surmontée d’une croix gravée de deux clefs, emblème iconographique du titulaire et « AR ». CS ""IPIC : 92097-INV-0055-02";Non vérifié;Ohey;Ohey;Rue de Gesves, 189 + en face;50.428158;5.121347;Photos manquantes;
Chasse-roues du Manoir Dutillieux;De part et d'autre du portail d'entrée, protègeant les piliers, deux beaux chasse-roues en calcaire, en forme de cône à tête arrondie, à la surface finement cisélée. ;"Cette propriété fut jadis un relais postal. Une pierre datée de 1777 (ndlr: de remploi ?) est visible sur le  bâtiment situé du côté gauche de la cour (au fond de celle-ci, existe un four à pain).  Un millésime "" 1912 "" est visible à l'arrière du logis et correspond à la transformation des lieux "" en manoir "" opérée par Maurice Dutilleux, qui habitait Bruxelles mais résidait au manoir l'été. 
Témoignage oral : Thierry Vanesse

Maurice Dutilleux est un fils d'Auguste Dutillieux (1815-1889). Ce dernier remplissait plusieurs fonctions à Ohey: instituteur, secrétaire et receveur communal, secrétaire du bureau de bienfaisance. Il avait trois enfants : Hélène (1870-1958) qui, après ses études primaires à l’école du village, poursuit ses études à l‘Institut des Sœurs à Champion puis épousa Ernest Froidebise- Ernest et Maurice, universitaires, l’un médecin et l’autre ingénieur ayant eu une très brillante carrière notamment au Chili dans le groupe Empain. A la fin de sa vie, Maurice fut directeur de la Cie belge des Chemins de Fer réunis et président de la Cie du Chemin de Fer du Katanga. ";Ohey;Ohey;Rue Pierre Froidebise, 64;50.435405;5.122659;Ohey-Cat5.6-ChasseRouesManoirDutilleux-AD-01Ohey-Cat5.6-ChasseRouesManoirDutilleux-AD-02Ohey-Cat5.6-ChasseRouesManoirDutilleux-AD-03;Ohey-Cat5.6-ChasseRouesManoirDutilleux-AD
Chasse-roues du n° 22 rue curé Binet;Chasse-roues en bord de rue avec le sommet arrondi, incliné;Pas d'information trouvée;Ohey;Perwez;Rue curé Binet, 22;50.452891;5.170796;Perwez-Cat5.6-Chasse-rouesCuréBinet22-AF-01Perwez-Cat5.6-Chasse-rouesCuréBinet22-AF-02Perwez-Cat5.6-Chasse-rouesCuréBinet22-PG-01;Perwez-Cat5.6-Chasse-rouesCuréBinet22-AF
Chasse-roues du n°102 rue de l'Harmonie;De part et d'autre de la grille d'entrée, protégeant les piliers, deux chasse-roues en pierre calcaire. Celui de gauche, taillé en trapèze arrondi et celui de droite, en pyramide tronquée.  ;Le chasse-roues pyramidal apparaît sur d'anciennes photos.;Ohey;Ohey;Rue de l'Harmonie, 102;50.437291;5.122295;Ohey-Cat5.6-ChasseRouesHarmonie102-AD-01Ohey-Cat5.6-ChasseRouesHarmonie102-AD-02Ohey-Cat5.6-ChasseRouesHarmonie102-AD-03Ohey-Cat5.6-ChasseRouesHarmonie102-AD-04;Ohey-Cat5.6-ChasseRouesHarmonie102-AD
Chasse-roues du n°244 rue Eugène Ronvaux;De part et d'autre de la grille d'entrée latérale, protégeant les piliers, deux chasse-roues en pierre calcaire, en demi-cône à tête arrondie, à la surface bouchardée et ciselée.;Pas d'information trouvée;Ohey;Ohey;Rue Eugène Ronvaux, 244;50.437314;5.125867;Ohey-Cat5.6-ChasseRouesEugèneRonvaux244-AD-01Ohey-Cat5.6-ChasseRouesEugèneRonvaux244-AD-02Ohey-Cat5.6-ChasseRouesEugèneRonvaux244-AD-03;Ohey-Cat5.6-ChasseRouesEugèneRonvaux244-AD
Chasse-roues du pont sur le Lilot;De chaque côté du pont sur le Lilot, pourvu de garde-corps récents, deux gros chasse-roues en demi-cône à tête arrondie. Taille bouchardée.  ;Grâce à une vue de 2009 (voir iconographie), on peut découvrir l'aspect des anciens garde-corps et constater que les chasse-roues ont été heureusement conservés jusqu'à ce jour.;Ohey;Perwez;Rue Grand Vivier + au pont sur le ruisseau de Lilot;50.45366;5.171963;Perwez-Cat5.6-Chasse-rouesGrandVivierLilot-AF-01Perwez-Cat5.6-Chasse-rouesGrandVivierLilot-AF-02;Perwez-Cat5.6-Chasse-rouesGrandVivierLilot-AF
Cloche Marie-Louise de l'église Saint-Pierre;Des trois cloches pendues dans le clocher de l'église, c'est celle de taille moyenne. Elle s'appelle Marie-Louise, date de 1874, donne le fa naturel et pèse 930 kg.Source : notes de Joseph Sacré.;"Elle fait partie de trois cloches qui furent coulées sur place, d’abord installées dans l’ancienne église située au Gros d’Ohey, ensuite replacées dans le clocher de la nouvelle église (actuelle) en 1889. Comme l'expliquait Joseph Sacré, chantre-organiste depuis 1931, "" La grosse cloche et la moyenne furent dépendues le 6 mars 1944 par 7 ou 8 hommes et expédiées en Allemagne où elles étaient destinées à la refonte pour en faire des canons. Elles furent retrouvées sur un bateau à Hambourg par les armées américaines et anglaises de libération. Elles furent  ramenées le vendredi 2 novembre 1945 ainsi que les 3 de Haillot et celles de Flostoy sur un camion de l’armée américaine. Avec l’accord de Monsieur le curé Dogot, nous les avons rependues à 2 hommes seulement Narcisse Lavigne et moi-même, avec un palan et un câble de puits à terre plastique. Comme la moyenne (Marie-Louise) avait 2 oreilles cassées, nous avons foré deux trous de 25 mm de diamètre dans la tête de la cloche pour y passer deux barres de fer et pouvoir la rependre. Nous avons mis trois jours pour les remonter dans leur gîte et avons reçu chacun 1.000 frs de l’abbé Dogot. Pour la Noël 1945, elles sonnaient de nouveau à toute volée. ""
Source : notes de Joseph Sacré.

Les fondeurs de cette cloche sont Firmin et Adrien Causard. "" Firmin Causard est né le 22 avril 1839 à Tellin, et décédé à Colmar le 3 octobre 1897. De la lignée Causard, c'est le fondeur ayant eu le destin le plus particulier, marqué par de la migration, un travail intense et un style particulier. Il reste un peu de ses cloches en Belgique, et beaucoup en France (...) Adrien Causard, est né le 13 mars 1841 à Tellin, et décédé le 23 février 1900, à la même ville. Il meurt célibataire et sans enfants.(...) "" 
Source :  http://tchorski.morkitu.org/ ";Ohey;Ohey;Place Roi Baudouin, église;50.435916;5.121444;;
Cloche Saint-Donat de l'église Saint-Pierre;Elle est la plus petite des trois cloches présentes dans le clocher de l'église. Dédiée à Saint-Donat, elle date de 1812 et donne le sol naturel et pèse 717 kg.Source : notes de Joseph Sacré.;"Elle fait partie de trois cloches qui furent coulées sur place et d’abord installées dans l’ancienne église située au Gros d’Ohey. Celles-ci furent ensuite replacées dans le clocher de la nouvelle église en 1889. Cette "" petite "" cloche ne fut pas expédiée en Allemagne en 1944 contrairement aux deux autres (la moyenne et la grosse). Ces dernières, par chance, retrouveront leur comparse en novembre 1945.
Source : notes de Joseph Sacré.

A l'occasion des baptêmes, Joseph Sacré, chantre-organiste depuis 1931, "" tribolait "", expression wallonne qui signifie qu'il jouait de la musique avec les cloches. Pierre Froidebise, musicien-compositeur né à Ohey, composa la plupart des airs qu'il sonnait jadis.

Pour une biographie des fondeurs Drouot du Bassigny, voir le site de Vincent Duseigne : http://tchorski.morkitu.org/
"" Les Drouot sont des fondeurs de la fin du 18e siècle et du 19e siècle. Ce sont des fondeurs majeurs pour la Belgique, autant en nombre qu’en qualité. "" (Vincent Duseigne)";Ohey;Ohey;Place Roi Baudouin, église;50.435916;5.121444;;
